idioma,traduccion
I do not understand her.,No la entiendo.
I do not understand you.,No te entiendo.
I do not want any money.,No quiero dinero.
I don't believe in fate.,No creo en el destino.
I don't do it for money.,No lo hago por dinero.
I don't drink much beer.,No bebo mucha cerveza.
I don't drink much wine.,No bebo mucho vino.
I don't eat apple cores.,Yo no me como los centros de las manzanas.
I don't feel very happy.,No me siento muy feliz.
I don't feel well today.,Hoy no me siento bien.
I don't have a computer.,No tengo un ordenador.
I don't have a solution.,No tengo una solución.
I don't have enough RAM.,No tengo suficiente RAM.
I don't have much money.,No tengo mucho dinero.
I don't have much money.,No tengo mucha plata.
I don't have the number.,No tengo el número.
I don't know any French.,No sé nada de francés.
I don't know her at all.,No la conozco de nada.
I don't know him at all.,No le conozco en absoluto.
I don't know what it is.,No sé lo que es.
I don't know what to do.,No sé qué hacer.
I don't know where I am.,No sé dónde estoy.
I don't know where I am.,¡Estoy perdido!
I don't know who she is.,No sé quién es ella.
I don't like fried food.,No me gusta la comida frita.
"I don't like it, either.",A mí tampoco me gusta.
I don't like sad movies.,No me gustan las películas tristes.
I don't like spicy food.,No me gusta la comida picante.
I don't like that store.,No me gusta esa tienda.
I don't like that store.,No me gusta ese negocio.
I don't like that woman.,No me gusta esa mujer.
I don't like thick soup.,No me gusta la sopa espesa.
I don't like this place.,No me gusta este lugar.
I don't like this store.,No me gusta esta tienda.
I don't like this watch.,No me gusta este reloj.
I don't like you at all.,No me gustas nada.
I don't need Tom's help.,No necesito la ayuda de Tom.
I don't need protection.,No necesito protección.
I don't need your money.,No necesito tu dinero.
I don't really know Tom.,En verdad no conozco a Tom.
I don't really know why.,Realmente no sé porqué.
I don't really know you.,En verdad no te conozco.
I don't really like you.,Realmente no me gustas.
I don't really remember.,Realmente no recuerdo.
I don't see any bruises.,No veo ningún moratón.
I don't see any bruises.,No veo ningunos moretones.
I don't see any options.,No veo ninguna opción.
I don't see much choice.,No veo mucha variedad.
I don't see the problem.,No veo el problema.
I don't think about you.,Yo no pienso en ti.
I don't think it's fair.,Yo no creo que sea justo.
I don't think it's good.,Yo no creo que sea bueno.
I don't think it's time.,No creo que ya es hora.
I don't think it's true.,No creo que sea verdad.
I don't think it's true.,No creo que eso sea cierto.
I don't understand that.,No entiendo eso.
I don't understand this.,Yo no entiendo esto.
I don't wanna press you.,No quiero presionarte.
I don't want Tom to die.,No quiero que Tom muera.
I don't want Tom's help.,No deseo la ayuda de Tom.
I don't want this shirt.,No quiero esta camisa.
I don't want to be rich.,No quiero ser rica.
I don't want to be rich.,No quiero ser rico.
I don't want to be rude.,No quiero ser grosero.
I don't want to be rude.,No quiero ser grosera.
I don't want to be rude.,No quiero ser rudo.
I don't want to die now.,No quiero morir ahora.
I don't want to die yet.,Aún no quiero morir.
I don't want to give up.,No quiero rendirme.
I don't want to give up.,No quiero darme por vencido.
I don't want to go home.,No quiero volver a casa.
I don't want to hear it.,No quiero oírlo.
I don't want to intrude.,No quiero entrometerme.
I don't want to read it.,No quiero leerlo.
I don't want to see Tom.,No quiero ver a Tom.
I don't want to see you.,No quiero verte.
I don't want to see you.,No quiero verlo.
I don't want to see you.,No los quiero ver.
I don't want to see you.,No te quiero ver.
I don't want to sue Tom.,No quiero demandar a Tom.
I don't want your money.,No quiero tu dinero.
I don't watch that show.,No veo ese programa.
I don't watch that show.,No veo ese show.
I don't work on Sundays.,No trabajo los domingos.
I doubt Tom would agree.,Dudo que Tom estaría de acuerdo.
I doubt if he will come.,Tengo dudas sobre si vendrá.
I draw almost every day.,Dibujo casi todos los días.
I eat here all the time.,Yo como aquí todo el tiempo.
I eat here all the time.,Siempre como aquí.
I eat there every night.,Como ahí todas las noches.
I enjoy being a teacher.,Me gusta ser profesor.
I enjoy being a teacher.,Disfruto ser profesor.
I fear for Tom's safety.,Temo por la seguridad de Tom.
I feel a little awkward.,Me siento un poco incómodo.
I feel a lot better now.,Ahora me siento mucho mejor.
I feel awful about that.,Me siento muy mal por eso.
I feel awful about that.,Me siento fatal por eso.
I feel bad for that guy.,Me siento mal por ese sujeto.
I feel great about this.,Me siento muy bien con esto.
I feel great about this.,Me siento estupendamente con esto.
I feel like I could cry.,Siento como si me fuera a echar a llorar.
I feel like an outsider.,Me siento como un extraño.
I feel like being alone.,Me siento como si estuviera solo.
I feel like such a fool.,Me siento como un tonto.
I feel like throwing up.,Tengo ganas de vomitar.
I feel relaxed with him.,Con él me siento relajado.
I feel relaxed with you.,Me siento relajado contigo.
I feel so sorry for Tom.,Lo siento mucho por Tom.
I feel so sorry for Tom.,Me da mucha pena Tom.
I feel stupid sometimes.,Me siento estúpido a veces.
"I feel your pain, buddy.","Siento tu dolor, socio."
I fell and broke my arm.,Me caí y me quebré el brazo.
I fell in love with her.,Me enamoré de ella.
I felt completely happy.,Me sentía completamente feliz.
I felt like I would die.,Sentí que moriría.
I felt like I would die.,Sentí como que moriría.
I felt like a rock star.,Me sentí como una estrella de rock.
I felt like a rock star.,Me sentía como una estrella de rock.
I felt pity for the boy.,Tuve compasión del joven.
I felt so uncomfortable.,Me sentí tan incómodo.
I felt so uncomfortable.,Me sentía tan incómodo.
I felt sympathy for him.,Sentí simpatía por él.
I felt sympathy for him.,Sentí simpatía hacia él.
I figured you'd be here.,Me imaginé que estarías aquí.
I finally found my keys.,Finalmente encontré mis llaves.
I find that fascinating.,Encuentro eso fascinante.
I followed Tom's orders.,Seguí las órdenes de Tom.
I forgot about it again.,Se me olvidó otra vez.
I forgot all about that.,Me olvidé todo sobre eso.
I forgot her completely.,La olvidé completamente.
I found a place to live.,Encontré un lugar para vivir.
I found it in the attic.,Lo encontré en el ático.
I found out where he is.,Averigüé donde está.
I found the book boring.,El libro me pareció aburrido.
I found the glass empty.,Encontré el vaso vacío.
I gave Tom all my money.,Le di a Tom todo mi dinero.
I gave Tom your address.,Le di a Tom tu dirección.
I gave him a gold watch.,Le di un reloj de oro.
I get paid on the first.,Fui pagado por adelantado.
I get paid on the first.,Me pagaron primero.
I go to Tokyo every day.,Voy a Tokio todos los días.
I go to school at seven.,Voy a la escuela a las siete.
I go to school with Tom.,Yo voy a la escuela con Tom.
I go to school with Tom.,Voy a la escuela con Tom.
I go to school with him.,Yo voy a la escuela con él.
I go where I want to go.,Voy a donde quiero ir.
I got a B in arithmetic.,Tengo una B en aritmética.
I got here Monday night.,Llegué el lunes por la noche.
I got here Monday night.,Llegué aquí la noche del lunes.
I got lost in the woods.,Me perdí en el bosque.
I got something for Tom.,Tengo algo para Tom.
I got up early as usual.,Me levanté temprano como siempre.
I grew up in that house.,Yo crecí en esa casa.
I grew up in that house.,Me crié en esa casa.
I grew up in this house.,Me crié en esta casa.
I grew up in this house.,Crecí en esta casa.
I guess I misunderstood.,Creo que no entendí bien.
I guess it won't matter.,Supongo que no importa.
I guess that's possible.,Supongo que es posible.
I guess this is goodbye.,Supongo que esto es un adiós.
I guess we can't say no.,Creo que no podemos decir que no.
I guess we can't say no.,Supongo que no podemos decir que no.
I guess you can't do it.,Supongo que tú no puedes hacerlo.
I had Tom do it instead.,"Mejor, hice que Tom lo hiciera."
I had Tom make the call.,Hice que Tom hiciera la llamada.
I had a great time here.,Me lo pasé estupendamente aquí.
I had a great time here.,Lo pasé muy bien aquí.
I had a happy childhood.,Yo tuve una infancia feliz.
I had a nosebleed today.,Hoy me ha sangrado la nariz.
I had a promise to keep.,Tenía una promesa que mantener.
I had a run of bad luck.,Tuve una racha de mala suerte.
I had a very high fever.,Tenía una fiebre muy alta.
I had a very high fever.,Yo tenía una fiebre muy alta.
I had breakfast at 7:30.,Desayuné a las 7:30.
I had breakfast at 7:30.,Desayuné a las siete y media de la mañana.
I had my bicycle stolen.,Me han robado mi bicicleta.
I had my watch repaired.,Mandé mi reloj a arreglar.
I had no one to talk to.,No tenía a nadie con quién hablar.
I had no one to turn to.,No tenía a nadie a quien recurrir.
I had some things to do.,Tenía algunas cosas que hacer.
I had something planned.,Yo había planeado algo.
I had to get some money.,Tuve que conseguir algo de dinero.
I had to give it a shot.,Tuve que darle una oportunidad.
I had to go there alone.,Tuve que ir ahí solo.
I had to keep my secret.,Tuve que mantener mi secreto.
I had to set an example.,Tuve que dar el ejemplo.
I had to shoot my horse.,Tuve que dispararle a mi caballo.
I had too much to drink.,Tenía demasiado para beber.
I hadn't really noticed.,No lo había notado.
I hadn't really noticed.,Realmente no lo había notado.
I hardly have any money.,Tengo poco dinero.
I hardly recognized Tom.,Casi no reconozco a Tom.
I hate Mary's boyfriend.,Odio al novio de Mary.
I hate birthday parties.,Detesto las fiestas de cumpleaños.
I hate cold winter days.,Odio los días fríos de invierno.
I hate getting up early.,¡Odio levantarme temprano!
I hate math most of all.,Odio a las matemáticas más que a nada.
I hate my job sometimes.,A veces odio mi trabajo.
I hate my mother-in-law.,Odio a mi suegra.
I hate people like that.,Odio a esa clase de personas.
I hate surprise parties.,Detesto las fiestas sorpresa.
I hate the weather here.,Detesto el tiempo que hace aquí.
I hate to be a nuisance.,Detesto ser una molestia.
I hate to waste my time.,Detesto perder el tiempo.
I hate what I've become.,Siento mucho en lo que me he convertido.
I have a boat and a car.,Tengo un barco y un carro.
I have a book to finish.,Tengo un libro para terminar.
I have a date on Friday.,Tengo una cita el viernes.
I have a different idea.,Tengo una idea diferente.
I have a hangover today.,Hoy tengo resaca.
I have a lot of cameras.,Tengo muchas cámaras.
I have a lot of flowers.,Tengo muchas flores.
I have a place to sleep.,Tengo un sitio para dormir.
I have a sense of humor.,Tengo sentido del humor.
I have a son who's sick.,Tengo un hijo que está enfermo.
I have a test next week.,Tengo una prueba la próxima semana.
I have a tight schedule.,Tengo un cronograma ajustado.
I have a train to catch.,Tengo que coger el tren.
I have a very old stamp.,Tengo un sello muy antiguo.
I have a weird neighbor.,Tengo un vecino raro.
I have a weird neighbor.,Tengo un vecino medio raro.
I have a weird neighbor.,Tengo un vecino medio extraño.
I have a wonderful idea.,Tengo una idea maravillosa.
I have an exam tomorrow.,Tengo un examen mañana.
I have an offer to make.,Tengo una oferta para hacer.
I have an older brother.,Tengo un hermano mayor.
I have another question.,Tengo otra pregunta.
I have bad news for you.,Tengo malas noticias para ti.
I have bad news for you.,Tengo malas noticias para vosotros.
I have become forgetful.,Me he vuelto olvidadizo.
I have borrowed a table.,Pedí prestada una mesa.
I have class in an hour.,Tengo clase en una hora.
I have climbed Mt. Fuji.,He escalado el monte Fuji.
I have come to kill you.,He venido a matarte.
I have family in Boston.,Tengo familia en Boston.
I have feelings for you.,Tengo sentimientos por ti.
I have little money now.,Ahora apenas tengo dinero.
I have lost my umbrella.,He perdido mi paraguas.
I have my own assistant.,Tengo mi propio asistente.
I have no choice at all.,No tengo otra opción en absoluto.
I have no ear for music.,No tengo oído para la música.
I have no more patience.,Se me ha acabado la paciencia.
I have no proof of that.,No tengo ninguna prueba de ello.
I have no special skill.,No tengo ninguna habilidad especial.
I have no time to waste.,No tengo tiempo que perder.
I have no time tomorrow.,No tengo tiempo mañana.
I have often been there.,A menudo he estado ahí.
I have the ace of clubs.,Tengo el as de tréboles.
I have to clean my room.,Tengo que limpiar mi habitación.
I have to hide this bag.,Tengo que esconder esta bolsa.
I have to iron my shirt.,Tengo que planchar mi camisa.
I have to sell it today.,Debo venderlo hoy.
I have to sell it today.,Tengo que venderla hoy.
I have to stop worrying.,Tengo que dejar de preocuparme.
I have to take a shower.,Me tengo que bañar.
I have to take a shower.,Me tengo que duchar.
I have to take a shower.,Me tengo que dar una ducha.
I have to take medicine.,Tengo que tomar un medicamento.
I have to take medicine.,Tengo que tomar medicinas.
I have to take medicine.,Tengo que tomar remedios.
I have to work tomorrow.,Tengo que trabajar mañana.
I have two big brothers.,Yo tengo dos hermanos mayores.
I haven't asked Tom yet.,Todavía no le he preguntado a Tom.
I haven't finished this.,No he terminado esto.
I haven't forgotten you.,No me he olvidado de tí.
I haven't forgotten you.,No me he olvidado de ustedes.
I haven't forgotten you.,No te he olvidado.
I haven't said anything.,No he dicho nada.
I haven't seen a doctor.,No he visto a un doctor.
I haven't seen anything.,No he visto nada.
I haven't slept in days.,No he dormido en días.
I haven't spoken to Tom.,No he hablado con Tom.
I heard a strange sound.,Oí un ruido extraño.
I heard someone whistle.,Oí a alguien silbar.
I helped them yesterday.,Ayer les ayudé.
I hope that I can do it.,Espero poder hacerlo.
I hope they're friendly.,Espero que sean amigables.
I hope this is worth it.,Espero que esto lo valga.
I hope to see you again.,Espero volver a verte.
I hope you are all well.,Espero que os vaya bien a todos.
I hope you aren't alone.,Espero que no estés sola.
I hope you aren't alone.,Espero que no estéis solos.
I hope you like the job.,Espero que te guste el trabajo.
I hope you two have fun.,Espero que los dos se diviertan.
I hope you're listening.,Espero que estés escuchando.
I hope you're not alone.,Espero que no estés solo.
I joined the study tour.,Me uní a la gira de estudio.
I just feel so helpless.,Simplemente me siento tan indefenso.
I just got back in town.,Acabo de volver a la ciudad.
I just got your message.,Acabo de recibir tu mensaje.
I just like to daydream.,Me encanta hacerme ilusiones.
I just like to daydream.,Me encanta soñar despierto.
I just need some coffee.,Solo necesito algo de café.
I just want to be loved.,Sólo quiero que me quieran.
I just want to have fun.,Yo solo quiero divertirme.
I just want to help Tom.,Yo sólo quiero ayudar a Tom.
I just want to help Tom.,Sólo quiero ayudar a Tom.
I just want you to come.,Sólo quiero que vengas.
I knew it was unhealthy.,Sabía que no era sano.
I knew it would be hard.,Sabía que sería duro.
I knew it would be hard.,Sabía que resultaría duro.
I know I made a mistake.,Sé que cometí un error.
I know I'm going to die.,Sé que voy a morir.
I know I'm not dreaming.,Sé que no estoy soñando.
I know a little Spanish.,Hablo un poco de español.
I know him only by name.,Yo a él sólo lo conozco de nombre.
I know how to handle it.,Sé cómo manejarlo.
I know it might be hard.,Sé que puede ser duro.
I know it was difficult.,Sé que era difícil.
I know myself very well.,Me conozco muy bien.
I know nothing but this.,No sé nada aparte de esto.
I know right from wrong.,Puedo distinguir entre el bien y el mal.
I know that I was wrong.,Yo sé que estaba equivocado.
I know that he can draw.,Sé que él sabe dibujar.
I know that she is cute.,Sé que ella es mona.
I know the consequences.,Conozco las consecuencias.
I know what his name is.,Sé cómo se llama.
I know what his name is.,Sé cuál es su nombre.
I know what's happening.,Sé lo que está pasando.
I know you speak French.,Sé que hablas francés.
"I know you're busy, Tom.","Sé que estás ocupado, Tom."
I learned that from you.,Yo aprendí eso de ti.
I learned to milk a cow.,Aprendí a ordeñar una vaca.
I lent my pencil to him.,Le presté mi lapicero.
I like her an awful lot.,Me gusta una barbaridad.
I like listening to NPR.,Me gusta escuchar a la NPR.
I like my coffee strong.,Me gusta mi café fuerte.
I like my job very much.,Me gusta mucho mi trabajo.
I like playing baseball.,Me gusta jugar al béisbol.
I like skiing very much.,Me gusta mucho esquiar.
I like studying English.,Me gusta estudiar inglés.
I like studying history.,Me gusta estudiar historia.
I like tennis very much.,Me gusta mucho el tenis.
I like the way you look.,Me gusta cómo luces.
I like the way you sing.,Me gusta cómo cantas.
I like the way you talk.,Me gusta la forma que tienes de hablar.
I like the way you talk.,Me gusta cómo hablas.
I like the way you talk.,Me gusta la manera en que hablas.
I like the way you walk.,Me gusta tu forma de andar.
I like to build bridges.,Me gusta construir puentes.
I like to clean my room.,Me gusta limpiar mi dormitorio.
I like to draw pictures.,Me gusta hacer dibujos.
I like to read the news.,Me gusta leer las noticias.
I like to study English.,Me gusta estudiar inglés.
I like to take pictures.,Me gusta sacar fotos.
I like your proposition.,Me gusta tu propuesta.
I listened to his story.,Escuché su historia.
I looked at the picture.,Vi la imagen.
I looked inside the box.,Miré dentro de la caja.
I looked out the window.,Miré por la ventana.
I loosened my shoelaces.,Me desabroché los cordones de los zapatos.
I loosened my shoelaces.,Me solté los cordones de los zapatos.
I lost everything I had.,Perdí todo lo que tenía.
I lost my job on Monday.,El lunes perdí mi trabajo.
I lost my job on Monday.,El lunes perdí mi empleo.
I love Christmas carols.,Me encantan los villancicos.
I love surprise parties.,Me encantan las fiestas sorpresa.
I love to see you laugh.,Me encanta verte reír.
I love to see you smile.,Adoro verte sonreír.
I love to take pictures.,Me encanta tomar fotos.
I made a fool of myself.,Hice el ridículo.
I made friends with her.,Nos hicimos amigos con ella.
I made her my secretary.,Yo la hice mi secretaria.
I made some corrections.,Hice algunas correcciones.
I made this food myself.,Hice esta comida yo mismo.
I made up for lost time.,Yo compensé el tiempo perdido.
I may swim in the river.,Puede que nade en el río.
I may swim in the river.,Podría nadar en el río.
I met her along the way.,Me encontré con ella en el camino.
I met her at the church.,La vi en la iglesia.
I met her at the church.,Me la encontré en la iglesia.
I met her in the winter.,La conocí durante el invierno.
I met her on the street.,Me encontré con ella en la calle.
I met him several times.,Me reuní con él varias veces.
I met with an old woman.,Me encontré con una anciana.
I met with an old woman.,Conocí a una anciana.
I might be able to help.,Yo puedo ser de ayuda.
I missed the 7:00 train.,Perdí el tren de las 7:00.
I missed the last train.,Perdí el último tren.
I missed the school bus!,¡Perdí el autobús escolar!
I missed you last night.,Anoche os eché de menos.
I must be getting close.,Debo estar acercándome.
I must be getting close.,Debo de estar acercándome.
I must be seeing things.,Debo estar viendo cosas.
I must buy one of these.,Tengo que comprar uno de estos.
I must leave here today.,Debo salir de aquí hoy.
I named the kitten Tama.,Llamé al gatito Tama.
I nearly made a mistake.,Por poco cometo un error.
I need a little company.,Necesito una pequeña compañía.
I need a place to crash.,Necesito un lugar para quedarme.
I need more information.,Necesito más información.
I need some good advice.,Necesito un buen consejo.
I need to hire a lawyer.,Necesito contratar a un abogado.
I need to keep you safe.,Necesito mantenerte a salvo.
I need to know his name.,Necesito saber su nombre.
I need to rest a moment.,Necesito descansar un momento.
I need to say something.,Necesito decir algo.
I need to see him again.,Necesito verle de nuevo.
I need to see him again.,Necesito verle nuevamente.
I need to see my family.,Necesito ver a mi familia.
I need to see my father.,Necesito ver a mi padre.
I need to talk with you.,Necesito hablar contigo.
I need you for a second.,Te necesito un segundo.
I need you to leave now.,Necesito que te vayas ahora.
I need your cooperation.,Necesito tu cooperación.
I never do any exercise.,Nunca hago nada de ejercicio.
I never learned to swim.,Nunca aprendí a nadar.
I never visit my sister.,No visito nunca a mi hermana.
I never visit my sister.,Nunca visito a mi hermana.
I never worked with him.,Jamás trabajé con él.
I often have bad dreams.,A menudo tengo pesadillas.
I often have nightmares.,A menudo tengo pesadillas.
I often have nightmares.,Tengo pesadillas frecuentemente.
I often wear sunglasses.,Con frecuencia uso gafas de sol.
I only have a few books.,Solo tengo unos pocos libros.
I only have one brother.,Yo tengo solo un hermano.
I only have one brother.,Tengo un solo hermano.
I only know him by name.,Sólo le conozco de oídas.
I only know him by name.,Yo a él sólo lo conozco de nombre.
I opened the top drawer.,Abrí el cajón de arriba.
I ordered new furniture.,Encargué nuevos muebles.
I ordered new furniture.,Pedí muebles nuevos.
"I owe him 1,000 dollars.",Le debo 1.000 dólares.
I owe my success to him.,Le debo mi éxito a él.
I owe you a big apology.,Te debo una gran disculpa.
I owe you a big apology.,Le debo una gran disculpa.
I paid about 50 dollars.,Pagué unos 50 dólares.
I paid cash for the car.,Pagué en efectivo el coche.
I paid her five dollars.,Le pagué a ella cinco dólares.
I painted the gate blue.,Pinté el portón azul.
I partly agree with you.,Estoy parcialmente de acuerdo contigo.
I picked up some French.,Se me pegó algo de francés.
I play soccer every day.,Juego al fútbol todos los días.
I play tennis every day.,Juego al tenis todos los días.
I play volleyball a lot.,Juego mucho al voleibol.
I play volleyball often.,Juego al voleibol a menudo.
I played tennis all day.,Jugué tenis todo el día.
I prefer spring to fall.,Prefiero la primavera al otoño.
I prefer to go swimming.,Prefiero ir a nadar.
I prefer warmer weather.,Prefiero el tiempo más caluroso.
I really enjoyed myself.,Realmente me la pasé bien.
I really like city life.,Me gusta mucho la vida de ciudad.
I really like this book.,Realmente me gusta este libro.
I really loved the show.,Realmente me encantó el espectáculo.
I really miss Thai food.,Realmente echo en falta la comida tailandesa.
I really miss Thai food.,Añoro un montón la comida tailandesa.
I really miss Thai food.,Echo mucho de menos la comida tailandesa.
I really need your help.,De verdad que necesito tu ayuda.
I reckon that I'm right.,Creo que estoy en lo cierto.
I recommend it strongly.,Lo recomiendo enfáticamente.
I refrain from drinking.,Me abstengo de beber.
I refuse to accept that.,Me negué a aceptar eso.
I regret having said so.,Lamento haber dicho eso.
I remember what he said.,Me acuerdo de lo que dijo.
I remember what he said.,Recuerdo lo que dijo.
I rode a unicycle today.,Hoy anduve en un monociclo.
I rode a unicycle today.,Hoy andé en monociclo.
I said I would help you.,Yo dije que iba a ayudarte.
I said I would help you.,Dije que iba a ayudarte.
I said I would tell you.,Dije que te lo contaría.
I sat down on the couch.,Me senté en el sofá.
I saw Tom on the stairs.,Vi a Tom en las escaleras.
I saw a cat on the roof.,Vi a un gato en el techo.
I saw him come this way.,Le vi venir en esta dirección.
I saw him looking at me.,Le vi mirándome.
I saw him looking at me.,Lo vi mirándome.
I saw him play baseball.,Yo le vi jugar béisbol.
I saw him sawing a tree.,Lo vi serruchando un árbol.
I saw him sawing a tree.,Le vi serrando un árbol.
I saw tears in her eyes.,Yo vi lágrimas en sus ojos.
I saw that he was right.,Comprendí que él tenía razón.
I saw the car hit a man.,Vi al coche golpear a un hombre.
I saw you on television.,Te vi en televisión.
I saw you on television.,Os vi en la televisión.
I saw you on television.,Te vi en la televisión.
I say that all the time.,Lo digo todo el tiempo.
I see no reason to stop.,No veo motivo para parar.
I see no reason to stop.,No encuentro motivo para parar.
I see what you're doing.,Veo lo que estás haciendo.
I should've stayed home.,Debería haberme quedado en casa.
I should've told Tom no.,Tendría que haberle dicho a Tom que no.
I should've worn gloves.,Debería haber usado guantes.
I shouldn't be laughing.,No debería estar riéndome.
I shouldn't be laughing.,No me debería estar riendo.
I showed him who's boss.,Le mostré quién es el jefe.
I shredded the document.,Hice trizas el documento.
I sing almost every day.,Canto casi todos los días.
I slept aboard the ship.,Dormí en el barco.
I slept aboard the ship.,Dormí a bordo del barco.
I smell something awful.,Huelo algo que apesta.
I snapped Tom's picture.,Rompí la foto de Tom.
I sold my books cheaply.,Vendí mis libros por poco dinero.
I sometimes cook dinner.,Yo a veces cocino la cena.
I speak French a little.,Hablo un poco de francés.
I speak a few languages.,Hablo unas pocas lenguas.
I speak a little French.,Hablo un poco de francés.
I speak a little German.,Hablo un poco de alemán.
I speak from experience.,Hablo por experiencia.
I speak three languages.,Hablo tres idiomas.
I spent Monday with Tom.,Pasé el lunes con Tomás.
I still don't feel safe.,Todavía no me siento seguro.
I still don't feel safe.,Todavía no me siento segura.
I still don't trust Tom.,Aún no confío en Tom.
I still have work to do.,Aún tengo trabajo por hacer.
I still haven't done it.,Todavía no lo hice.
I still haven't done it.,Aún no lo he hecho.
I still want to be here.,Todavía quiero estar aquí.
I stretched out my legs.,Estiré las piernas.
I studied before supper.,Yo estudié antes de la cena.
I studied it thoroughly.,Lo estudié en profundidad.
I study English at home.,Yo estudio inglés en casa.
I suddenly became dizzy.,Me mareé de repente.
