idioma,traduccion
It is difficult for me to play the piano.,Me cuesta tocar el piano.
It is difficult for me to understand him.,Me es difícil comprenderlo.
It is difficult to speak three languages.,Es difícil hablar tres lenguas.
It is difficult to speak three languages.,Es difícil hablar tres idiomas.
It is difficult to understand his theory.,Su teoría es difícil de entender.
It is difficult to understand his theory.,Es difícil entender su teoría.
It is easy for me to answer the question.,Para mí es fácil responder a la pregunta.
It is easy to distinguish good from evil.,Es fácil distinguir el bien del mal.
It is easy to distinguish good from evil.,Es fácil distinguir lo bueno de lo malo.
It is impossible to read her handwriting.,No es posible leer su letra.
It is impossible to read her handwriting.,Es imposible de descifrar su escritura.
It is necessary to prepare for the worst.,Es necesario que nos preparemos para lo peor.
It is no use your trying to persuade him.,No tiene caso que intentes persuadirlo.
It is not good to ridicule him in public.,No está bien ridiculizarlo en público.
It is possible that he may know the fact.,Es posible que él sepa lo ocurrido.
It is quite natural for her to get angry.,Es bastante normal que esté enfadada.
It is said that there is no life on Mars.,Se dice que no hay vida en Marte.
"It is true he is rich, but he is a miser.","Es cierto que él es rico, pero es un miserable."
It isn't necessary to answer that letter.,No es necesario responder a esa carta.
It looks like she's got a lot of friends.,Parece que ella tiene muchos amigos.
It looks like we're staying here tonight.,Parece que nos quedaremos aquí esta noche.
It never occurred to me that he loved me.,Nunca se me ocurrió que él me amaba.
It rained for the first time in ten days.,Llovió por primera vez en diez días.
It seemed that he had visited the office.,Parecía que él había pasado por la oficina.
It seemed that no one was in the village.,Parecía que no hubiera nadie en la villa.
It seemed that no one was in the village.,Parecía que no había nadie en el pueblo.
It seems impossible that you're that old.,Parece mentira que tenga tanta edad.
It seems like years since Sunday morning.,Siento como si hubieran pasado años desde la mañana del domingo.
It takes many people to build a building.,Se requieren muchas personas para construir un edificio.
It took Tom 10 years to finish his house.,Le tomó 10 años a Tom terminar su casa.
It took me five hours to finish the work.,Me llevó cinco horas terminar el trabajo.
It took me five hours to finish the work.,Tardé cinco horas en terminar el trabajo.
It was a party to celebrate her birthday.,Era una fiesta para celebrar su cumpleaños.
"It was already late, so I went back home.","Ya era tarde, así que volví a casa."
It was easy for him to solve the problem.,Para él fue fácil resolver el problema.
It was easy for him to solve the problem.,No le costó resolver el problema.
It was foolish of him to do such a thing.,Fue una tontería de su parte hacer tal cosa.
It was like watching a slow motion movie.,Era como ver una película en cámara lenta.
It was obvious that it would be this way.,Era claro que sería así.
It was the greatest earthquake on record.,Fue el mayor terremoto registrado.
It was the most painful thing in my life.,Fue lo más doloroso de mi vida.
It wasn't Tom who left the water running.,No fue Tom quien dejó la llave del agua abierta.
It will be raining at this time tomorrow.,Mañana a estas horas estará lloviendo.
It won't be long before they get married.,No pasará mucho tiempo antes de que se casen.
It'd be better if you would come with me.,Sería mejor si vinieras conmigo.
It'll be hard to convince Tom to help us.,Será difícil convencer a Tom de que nos ayude.
It'll be hard to convince Tom to help us.,Nos costará convencer a Tom para que nos ayude.
It's a pity that I have no ear for music.,Es una pena que no tenga oído para la música.
It's a pity that he should be ill in bed.,Es una pena que él deba permanecer en cama enfermo.
It's about time you went to the barber's.,Ya era hora de que fueras a la peluquería.
It's absurd never to admit your mistakes.,Es absurdo no admitir tus errores.
It's been over a year since the accident.,Ha pasado más de un año desde el accidente.
It's fun to learn about foreign cultures.,Estudiar las culturas de otros países es divertido.
It's fun to take a trip in an automobile.,Es divertido hacer un viaje en un automóvil.
It's just that I don't want to die today.,Es solo que no quiero morir hoy.
It's just time for children to go to bed.,Es hora de que los niños vayan a la cama.
It's not possible to live on that island.,Es imposible vivir en esa isla.
It's on the first floor of that building.,Está en el primer piso de aquel edificio.
It's raining today. Where is my umbrella?,"Está lloviendo hoy, ¿dónde está mi paraguas?"
"It's raining, but I would like to go out.","Está lloviendo, pero me gustaría salir."
It's time you stood on your own two feet.,Es el momento de que te sostengas por tus propios pies.
It's too bad you can't come to the party.,Siento que no puedas venir a la fiesta.
It's too bad you can't come to the party.,Lamento que no pueda usted venir a la fiesta.
Jackson received no answer to his letter.,Jackson no recibió una respuesta a su carta.
Japanese young people like rock and jazz.,A los jóvenes japoneses les gusta el rock y el jazz.
Jiro Akagawa has written over 480 novels.,Akagawa Jiro ha escrito más de 480 novelas.
"Joking aside, what are you trying to say?","Bromas aparte, ¿qué estás intentando decir?"
Kumi is the girl whose father likes dogs.,Kumi es la chica a cuyo padre le gustan los perros.
Languages are subject to constant change.,Las lenguas están constantemente sujetas a cambios.
Learning a foreign language is difficult.,Aprender una lengua extranjera es difícil.
Learning a foreign language is difficult.,Es difícil aprender un idioma extranjero.
Learning a foreign language is difficult.,Aprender lenguas extranjeras es difícil.
Leave us alone and we'll leave you alone.,"Déjanos en paz, y nosotros te dejaremos en paz."
Legend has it that this house is haunted.,Según la leyenda esta casa está embrujada.
Lend me something with which to cut this.,Pásame algo con que cortar esto.
Let me know if there's anything I can do.,Hazme saber si hay algo que yo pueda hacer.
Let me know if there's anything I can do.,Déjame saber si hay cualquier cosa que yo pueda hacer.
Let me know if there's anything I can do.,Déjame saber si hay algo que yo pueda hacer.
Let me say a few words by way of apology.,Permítame excusarme.
Let me show you something really awesome.,Déjame mostrarte algo realmente increíble.
Let us know if you change your residence.,Avise usted si cambia de domicilio.
Let's be calm and consider the situation.,Calmémonos y consideremos la situación.
Let's get out for a while to take a walk.,Salgamos un rato a dar la vuelta.
Let's just pray this never happens again.,Recemos para que esto no pase otra vez.
Let's just pray this never happens again.,Recemos para que esto no suceda otra vez.
Let's not waste what little time we have.,No desperdiciemos el poco tiempo que tenemos.
Let's play some video games to kill time.,Juguemos algunos videojuegos para matar tiempo.
Let's sit down in the shade of that tree.,Sentémonos a la sombra de ese árbol.
Life begins when you're ready to live it.,La vida comienza cuando uno está preparado para vivirla.
"Listen, he doesn't know what he's saying.","Escucha, no sabe lo que dice."
"Look after the place while we're out, OK?","Cuida el lugar mientras no estamos, ¿bueno?"
Look both ways before you cross the road.,Mira a ambos lados antes de cruzar la calle.
Make a sentence with each of these words.,Hacé una oración con cada una de estas palabras.
Making friends is easy when you're young.,Hacer nuevos amigos es fácil cuando eres joven.
Man is the only animal that writes books.,El hombre es el único animal que escribe libros.
Many old customs are gradually dying out.,Muchas tradiciones antiguas se van perdiendo progresivamente.
Many shoes nowadays are made of plastics.,"Hoy en día, muchos zapatos son hechos de plástico."
Many soldiers were wounded in the battle.,Muchos soldados fueron heridos en la batalla.
Mary is more intelligent than her sister.,Mary es más inteligente que su hermana.
Mary is very gentle with her baby sister.,Mary es muy gentil con su hermana bebé.
Mary knows nothing of sewing or knitting.,Mary no sabe nada de coser o calcetar.
Mary told me that she was glad to see me.,Mary me dijo que se alegraba de verme.
Mary used to dream about getting married.,María soñaba con casarse.
Mary wanted to marry a man with ambition.,Mary se quería casar con un hombre con ambición.
Mary's was the only phone number Tom had.,El único número que tenía Tomás era el de María.
Mary's wedding ring is made of pure gold.,El anillo de bodas de María es de oro puro.
May I have a couple of cheese sandwiches?,¿Me puede dar un par de sándwiches de queso?
Maybe there is someone else in the house.,Quizás haya alguien más en la casa.
Maybe what I want doesn't matter anymore.,Quizás lo que yo quiero ya no importa.
Mercury is the closest planet to the sun.,Mercurio es el planeta más próximo al sol.
Mercury is the nearest planet to the sun.,Mercurio es el planeta más cercano al sol.
Mercury is the planet nearest to the sun.,Mercurio es el planeta más cercano al sol.
Monks used to play tennis in monasteries.,Los monjes solían jugar al tenis en los monasterios.
More and more Russian soldiers lost hope.,Más y más soldados rusos perdieron la esperanza.
Mother divided the cake into three parts.,La madre dividió la torta en tres partes.
Mt. Fuji is Japan's most famous mountain.,El monte Fuji es la montaña más famosa de Japón.
Mt. Fuji is Japan's most famous mountain.,El monte Fuji es la montaña más célebre de Japón.
My aunt enjoyed good health all her life.,Mi tía disfrutó de buena salud durante toda su vida.
My boyfriend still hasn't met my parents.,Mi novio todavía no conoce a mis padres.
My brother has been sick since yesterday.,Mi hermano está enfermo desde ayer.
My brother insisted on going there alone.,Mi hermano insistió en ir allí solo.
My brother is big enough to travel alone.,Mi hermano es lo suficientemente mayor como para viajar solo.
My brother's six years younger than I am.,Mi hermano tiene seis años menos que yo.
My dad goes out for a walk every morning.,Mi padre sale a pasear cada mañana.
My father came back from Osaka last week.,Mi padre volvió de Osaka la semana pasada.
My father used to eat at this restaurant.,Mi padre solía comer en este restaurante.
My father used to say that time is money.,Mi padre solía decir que el tiempo es oro.
My friend frowned as she read the letter.,Mi amiga frunció el ceño al leer la carta.
My friend frowned as she read the letter.,Mi amigo frunció el ceño al leer la carta.
My friend invited me to go out to dinner.,Mi amigo me invitó a salir a cenar.
My friend said he had bought a new watch.,Mi amiga ha dicho que compró un reloj nuevo.
My friends went to the movies without me.,Mis amigos se fueron al cine sin mí.
My friends will give me a party tomorrow.,Mis amigos harán una fiesta para mí mañana.
My grandfather goes for a walk every day.,Mi abuelo sale a caminar todos los días.
My grandfather goes to mass every Sunday.,Mi abuelo va a misa todos los domingos.
My grandfather goes to mass every Sunday.,Mi abuelo va a misa cada domingo.
My home is separated from his by a river.,Un río separa mi casa de la suya.
My little sister can read books well now.,Mi hermana menor ya puede leer bien libros.
My mother is always complaining about me.,Mi madre siempre se está quejando de mí.
My mother is making a cake for my father.,Mi madre está haciendo una tarta para mi padre.
My mother is making sandwiches for lunch.,Mi madre está preparando sándwiches para el almuerzo.
My mother is not accustomed to hard work.,Mi madre no está acostumbrada al trabajo duro.
My name is known by everyone in our town.,Mi nombre es conocido por todos en nuestra ciudad.
My neighbor's dog won't eat dry dog food.,El perro de mi vecino no come comida de perros seca.
My new pair of shoes are made of leather.,Mi nuevo par de zapatos es de cuero.
My parents discouraged me from traveling.,Mis padres me disuadieron de viajar.
My room is three times as large as yours.,Mi habitación es tres veces más grande que la tuya.
My sister dropped her plate on the floor.,A mi hermana se le cayó el plato al piso.
My sister works as a secretary at a bank.,Mi hermana trabaja como secretaria en un banco.
My sister works in a bank as a secretary.,Mi hermana trabaja como secretaria en un banco.
My sisters were cooking when I came home.,"Al llegar a casa, mis hermanas estaban cocinando."
My son wants to be a professional golfer.,Mi hijo quiere ser un golfista profesional.
My uncle is a veteran of the Vietnam War.,Mi tío es un veterano de la Guerra de Vietnam.
My wife spends too much money on herself.,Mi mujer gasta demasiado dinero en sí misma.
Never compare your wife to another woman.,Nunca compares a tu esposa con otra mujer.
"Never say the word ""bomb"" on an airplane.","Nunca diga la palabra ""bomba"" en un avión."
"Next week, we're heading to the mountain.",La próxima semana vamos a la montaña.
No one can deny the fact that fire burns.,Nadie puede negar el hecho de que el fuego quema.
No one could solve the problem after all.,"A fin de cuentas, nadie pudo resolver el problema."
No one had the heart to say he was wrong.,Nadie tuvo valor para decirle que estaba equivocado.
No one in their right mind would do this.,Nadie en su sano juicio haría esto.
No one is allowed to leave this building.,No se permite a nadie salir de este edificio.
No one is allowed to leave this building.,No se permite abandonar este edificio a nadie.
No one knows whether he loves her or not.,Nadie sabe si él la quiere o no.
No one wants to talk about books anymore.,Nadie quiere hablar más sobre libros.
No one was ever able to solve the riddle.,Nadie fue capaz de resolver el acertijo.
No one was in a hurry to leave the party.,Nadie tenía apuro de irse de la fiesta.
No words can express how amazing you are.,No existen palabras para expresar lo increíble que eres.
Nobody can make pizza as well as Tom can.,Nadie puede hacer pizza tan bien como Tom.
Nobody can make pizza as well as Tom can.,Nadie sabe hacer pizzas tan bien como Tom.
Non-members pay an additional 50 dollars.,No miembros pagan 50 dólares extra.
Not all species of spiders are poisonous.,No todas las especies de arañas son venenosas.
Not every book on the desk belongs to me.,No todos los libros que hay en el escritorio son míos.
"Not knowing what to say, she just smiled.","Sin saber qué decir, sencillamente sonrió."
Nothing is more valuable than friendship.,No hay nada más importante que la amistad.
"Now that you're my girlfriend, I'm happy.",Estoy feliz ahora que eres mi novia.
Now the mountain is hidden by the clouds.,Ahora la montaña está escondida tras las nubes.
"Oh, by the way, I have something for you.","Oh, por cierto, tengo algo para ti."
One is Japanese and the other is Italian.,Uno es japonés y el otro es italiano.
One more person will be joining us later.,Más tarde otra persona se nos estará uniendo.
One of the hands has fallen off my watch.,A mi reloj se le ha caído una aguja.
One of the suitcases is completely empty.,Una de las valijas está completamente vacía.
One thing that won't change is my salary.,Una cosa que no cambiaría es mi sueldo.
One thing that won't change is our price.,Una cosa que no cambiará es nuestro precio.
Only 3 out of the 98 passengers survived.,Solo 3 de los 98 pasajeros sobrevivieron.
Open the door. They are ringing the bell.,Abra usted la puerta están llamando el timbre.
Our car ran out of gas after ten minutes.,Nuestro auto se quedó sin combustible después de diez minutos.
Our eyes take time to adjust to the dark.,Nuestros ojos requieren tiempo para adaptarse a la oscuridad.
Our guests should be here within an hour.,Nuestros invitados deberán estar aquí dentro de una hora.
Our problems are nothing compared to his.,Nuestros problemas no son nada comparado a los suyos.
Our teacher separated us into two groups.,Nuestro profesor nos separó en dos grupos.
Our world is getting smaller and smaller.,Nuestro mundo se está haciendo cada vez más pequeño.
"Owing to the snow, the train was delayed.",El tren llegó con retraso por culpa de la nieve.
People believe what they want to believe.,La gente cree lo que quiere creer.
People should be honest with one another.,Las personas deberían ser honestas las unas con las otras.
Perhaps she doesn't remember my birthday.,Quizás ella no se acuerda de mi cumpleaños.
Please be careful not to break this vase.,"Ten cuidado de no romper esta jarra, por favor."
Please call me at eight tomorrow morning.,"Llámame mañana a las ocho de la mañana, por favor."
Please call me at seven tomorrow morning.,"Por favor, llámame mañana en la mañana a las siete."
Please divide the pizza into three parts.,Por favor divide la pizza en tres partes.
Please don't write letters to me anymore.,Por favor no me escribas cartas nunca más.
Please look after my cats while I'm away.,"Por favor, cuida a mis gatos mientras no estoy."
Please make five copies of this document.,"Por favor, haz cinco copias de este documento."
Please make sure that the door is locked.,"Por favor, asegúrese de que la puerta está cerrada con llave."
Please pick me up at the airport at five.,"Recógeme en el aeropuerto a las cinco, por favor."
Please put a pitcher of water in my room.,Hágame el favor de poner una jarra con agua en mi cuarto.
Please tell Tom to close all the windows.,"Por favor, dile a Tom que cierre todas las ventanas."
Please tell me about you and your family.,"Por favor, háblame acerca de ti y tu familia."
Please tell me about you and your family.,"Por favor, cuéntame acerca de ti y tu familia."
Please tell us why you need to stay here.,"Por favor, cuéntanos por qué necesitas quedarte aquí."
Please write down what I am going to say.,"Por favor, escriba lo que voy a decir."
Please write down what I am going to say.,"Por favor, apunta lo que voy a decir."
Pneumonia causes difficulty in breathing.,La neumonía causa dificultades respiratorias.
President Grant had done nothing illegal.,El presidente Grant no ha hecho nada ilegal.
