idioma,traduccion
Perfect!,¡Perfecto!
See you.,Nos vemos.
Show me.,Muéstramelo.
Show me.,Enséñamelo.
Show me.,Mostrame.
Shut up!,¡Cierra la boca!
Shut up!,¡Cerrá el pico!
Skip it.,Sáltatelo.
So long.,Hasta la vista.
So long.,Hasta luego.
Stop it.,Páralo.
Stop it.,Deténlo.
Take it.,Cógelo.
Tell me.,Decime.
Tom ate.,Tom comió.
Tom ran.,Tom corrió.
Tom won.,Tom ganó.
Wait up.,Espérame despierto.
Wake up!,¡Despierta!
Wake up!,¡Despiértate!
Wake up!,¡Despertate!
Wake up.,Despierta.
Wash up.,Lávate las manos.
We care.,Nos preocupamos.
We know.,Lo sabemos.
We lost.,Perdimos.
Welcome.,Bienvenidos.
Welcome.,Bienvenidas.
Who ate?,¿Quién comió?
Who ran?,¿Quién corría?
Who ran?,¿Quién corrió?
Who won?,¿Quién ganó?
Who won?,¿Quién ha ganado?
Why not?,¿Por qué no?
You run.,Corre.
You won.,Has ganado.
Am I fat?,¿Estoy gordo?
Ask them.,Preguntales.
Ask them.,Pregúntales.
Back off!,Aparta.
Back off.,Apártate.
Be a man.,Sé un hombre.
Be brave.,Sé fuerte.
Be brief.,Sé breve.
Be brief.,Sea breve.
Be brief.,Sean breves.
Be quiet.,Estate quieto.
Be still.,No te muevas.
Call Tom.,¡Llamalo a Tomás!
Call Tom.,¡Llámalo a Tomás!
Call Tom.,¡Llámenlo a Tomás!
Cheer up!,Anímate.
Cheer up.,Venga.
Cool off!,¡Cálmate!
Cuff him.,Espósale.
Don't go.,No te vayas.
Drive on.,Continúa.
Find Tom.,Encontralo a Tomás.
Find Tom.,Encuéntralo a Tomás.
Find Tom.,Encuéntrelo a Tomás.
Find Tom.,Encuéntrenlo a Tomás.
Find Tom.,Encuentre a Tom.
Find Tom.,Encuentren a Tom.
Fix this.,Arregla esto.
Get away!,¡Vete de aquí!
Get away!,¡Lárgate!
Get away!,¡Largo!
Get away!,¡Vete ya!
Get down!,Ponte a ello.
Get down.,Abajo.
Get down.,Túmbate.
Get lost!,¡Piérdete!
Get lost!,¡Vete de aquí!
Get lost!,¡Lárgate!
Get lost!,¡Largo!
Get lost!,¡Vete ya!
Get lost.,Esfúmate.
Get real!,¡Despierta!
Get real!,¡Piénsalo bien!
Get real.,Abre los ojos.
Go ahead!,Adelante.
Go ahead.,Adelante.
Go on in.,Entre.
Go on in.,Entra.
Go on in.,Entren.
Go on in.,Entrá.
Go on in.,Entrad.
Good job!,¡Buen trabajo!
Grab Tom.,Sujeta a Tom.
Grab him.,Agárralo.
Have fun.,Diviértanse.
Have fun.,Pásala bien.
Have fun.,Pásenla bien.
He spoke.,Él habló.
He tries.,Él lo intenta.
He tries.,Él prueba.
Help Tom.,Ayuda a Tom.
Help him.,Ayúdalo.
"Hi, guys.","Hola, ¿qué hay?"
"Hi, guys.","Ey, chavales."
"Hi, guys.","¿Qué pasa, troncos?"
"Hi, guys.",Buenas.
"Hi, guys.",¿Qué tal os va?
"Hi, guys.",Hola por aquí.
How cute!,¡Qué encanto!
How deep?,¿Qué tan profundo?
How deep?,¿Cómo de profundo?
Humor me.,Hazme el favor.
Humor me.,Compláceme.
Hurry up.,¡Date prisa!
Hurry up.,Apresúrate.
I agreed.,Convine.
I agreed.,Acepté.
I agreed.,Accedí.
I am fat.,Soy gorda.
I am old.,Estoy viejo.
I ate it.,Me lo comí.
I ate it.,Me la comí.
I can go.,Puedo ir.
I did OK.,Lo hice bien.
I did it.,Lo hice.
I failed.,Fracasé.
I forgot.,Lo olvidé.
I get by.,Me las arreglo.
I get it.,Lo entiendo.
I got it.,Lo tengo.
I phoned.,Llamé por teléfono.
I refuse.,Me niego.
I resign.,Dimito.
I resign.,Renuncio.
I saw it.,Lo vi.
I smiled.,Sonreí.
I stayed.,Me quedé.
I talked.,Hablé.
I talked.,Hablaba.
I talked.,Charlé.
I talked.,Charlaba.
I use it.,Yo lo uso.
I waited.,Esperé.
I'll pay.,Yo pagaré.
I'm back.,He vuelto.
I'm back.,Estoy de vuelta.
I'm bald.,Soy calvo.
I'm bald.,Estoy calvo.
I'm calm.,Estoy calmado.
I'm cool.,Estoy tranquilo.
I'm done.,He terminado.
I'm easy.,Soy bastante facilón.
I'm fair.,Soy justo.
I'm fine.,Estoy perfectamente.
I'm free!,¡Soy libre!
I'm free.,Yo soy libre.
I'm full.,Estoy lleno.
I'm full.,Estoy llena.
I'm full.,Ya me llené.
I'm here.,Estoy aquí.
I'm home.,Estoy en casa.
I'm hurt.,Estoy herido.
I'm late.,Llego tarde.
I'm lazy.,Soy vago.
I'm lost.,Estoy perdida.
I'm mean.,Soy malo.
I'm next.,Me toca a mí.
I'm okay.,Estoy perfectamente.
I'm poor.,Soy pobre.
I'm rich.,Soy rica.
I'm rich.,Soy rico.
I'm safe.,Estoy a salvo.
I'm sick.,Estoy enferma.
I'm thin.,Soy delgado.
I'm tidy.,Estoy limpio.
I'm warm.,Estoy calentito.
I'm weak.,Estoy débil.
I'm wise.,Soy listo.
I've won.,Gané.
It helps.,Eso ayuda.
It hurts.,Duele.
It works.,Funciona.
It's Tom.,Es Tom.
It's fun.,Es divertido.
It's his.,Es suyo.
It's new.,Es nuevo.
It's odd.,Es extraño.
It's old.,Es viejo.
It's red.,Es rojo.
It's sad.,Es triste.
Keep out!,Prohibido pasar.
Keep out.,No entrar.
Kiss Tom.,Besá a Tomás.
Kiss Tom.,Besa a Tomás.
Kiss Tom.,Besen a Tomás.
Leave it.,Déjalo.
Leave me.,Déjame.
Leave us.,Déjanos.
Let's go!,Vamos.
Let's go!,¡Órale!
Look out!,Cuidado.
Marry me.,Cásate conmigo.
May I go?,¿Puedo ir?
Save Tom.,Salva a Tom.
She came.,Ella vino.
She died.,Ella murió.
She runs.,Ella corre.
Sit down!,¡Sentate!
Sit down.,Siéntate.
Sit here.,Siéntate aquí.
Speak up!,¡Hable más fuerte!
Speak up!,Habla más fuerte.
Speak up!,¡Habla más alto!
Stand by.,Prepárate.
Stand by.,Un momento.
Stand up!,¡Parate!
Stand up!,¡De pie!
Stay put.,No te muevas.
Stop Tom.,Detén a Tom.
Take Tom.,Llévate a Tom.
Tell Tom.,Díselo a Tom.
Terrific!,¡Genial!
Terrific!,¡Órale!
They won.,Ellos ganaron.
Tom came.,Tom vino.
Tom died.,Tom ha muerto.
Tom fell.,Tom se cayó.
Tom knew.,Tom lo sabía.
Tom knew.,Tom tenía constancia de ello.
Tom left.,Tom se fue.
Tom lied.,Tom mintió.
Tom lies.,Tomás miente.
Tom lost.,Tom perdió.
Tom paid.,Tom pagó.
Tom quit.,Tom renunció.
Tom swam.,Tom nadó.
Tom wept.,Tom lloró.
Tom's up.,Tom se ha levantado.
Too late.,Demasiado tarde.
Trust me.,Confía en mí.
Try hard.,Inténtalo de veras.
Try some.,Prueba un poco.
Try some.,Pruebe un poco.
Try some.,Prueben un poco.
Try this.,Prueben esto.
Try this.,Probá esto.
Try this.,Prueba esto.
Use this.,Usa esto.
Warn Tom.,Avísale a Tom.
Warn Tom.,Avísele a Tom.
Warn Tom.,Avísenle a Tom.
Warn Tom.,Avisale a Tom.
Watch me.,Mírame.
Watch me.,Vigílame.
Watch me.,Obsérvame.
Watch us.,Obsérvalos.
Watch us.,Obsérvanos.
We agree.,Estamos de acuerdo.
We tried.,Lo intentamos.
We'll go.,Iremos.
We're OK.,Estamos bien.
What for?,¿Para qué?
What fun!,¡Qué divertido!
Who am I?,¿Quién soy yo?
Who came?,¿Quién vino?
Who died?,¿Quién murió?
Who fell?,¿Quién se calló?
Who fell?,¿Quién se cayó?
Who quit?,¿Quién se ha ido?
Who quit?,¿Quién lo ha dejado?
Who swam?,¿Quién nadó?
Who's he?,¿Quién es él?
Write me.,Escríbeme.
After you.,Después de ti.
After you.,Tú primero.
After you.,Usted primero.
After you.,Después de usted.
After you.,Después de vosotras.
Aim. Fire!,Apunta. ¡Fuego!
Answer me.,Respóndeme.
Answer me.,Respondedme.
Answer me.,Respóndanme.
Birds fly.,Los pájaros vuelan.
Bless you.,Jesús.
Call home!,¡Llama a casa!
Calm down.,Cálmate.
Calm down.,Tranquilízate.
Calm down.,Tomátelo con soda.
Calm down.,Bajá un cambio.
Can we go?,¿Podemos ir?
Can we go?,¿Podemos irnos?
Can we go?,¿Podemos marcharnos?
Catch Tom.,¡Atrápelo a Tomás!
Catch him.,Captúralo.
Catch him.,Captúrenlo.
Catch him.,Atrápenlo.
Catch him.,Atrápalo.
Come back.,Vuelve.
Come here.,Vení.
Come here.,Ven.
Come here.,Venid aquí.
Come home.,Ven a casa.
Come over.,Venid aquí.
Come over.,Vente.
Come over.,Veníos.
Come over.,Venga aquí.
Come soon.,Vuelve pronto.
Do it now.,Hazlo ahora.
Dogs bark.,Los perros ladran.
Don't ask.,No preguntes.
Don't cry.,No llores.
Don't cry.,¡No llorés!
Don't cry.,¡No llores!
Don't cry.,No lloren.
Don't lie.,No mintáis.
Don't run.,No corras.
Fantastic!,¡Fantástico!
Fantastic!,¡Es estupendo!
Fantastic!,¡Órale!
Feel this.,Tienta esto.
Feel this.,Tiente esto.
Feel this.,Tienten esto.
Feel this.,Tentad esto.
Feel this.,Tentá esto.
Follow me.,Sígueme.
Follow me.,Seguidme.
Follow us.,Síguenos.
Forget it.,Déjalo.
Forget me.,Olvídame.
Forget me.,Olvídate de mí.
Forget me.,Olvídenme.
Forget me.,Olvídense de mí.
Get ready.,Preparaos.
Go for it.,Ve a por ello.
Go for it.,Ve a cogerlo.
Go get it.,Ve a por ello.
Go get it.,Vete a por ello.
Go get it.,Id a por ello.
Go inside.,Entra.
Go to bed.,Vete a la cama.
Grab that.,Cógelo.
Grab this.,Agarra esto.
Have some.,Coge alguno.
Have some.,Toma algo.
Have some.,Tome alguno.
He is old.,Él es viejo.
He is old.,Él es anciano.
He shaved.,Él se afeitó.
He smiled.,Sonrió.
He's a DJ.,Él es DJ.
He's fast.,Él es veloz.
He's good.,Él es bueno.
He's rich.,Él es rico.
He's rich.,Es rico.
Here I am.,Acá estoy.
Hold this.,Sostén esto.
How awful!,¡Qué horror!
How weird!,¡Qué raro!
How's Tom?,¿Cómo está Tom?
Humor Tom.,Divierte a Tom.
I am busy.,Estoy ocupada.
I am full.,Estoy lleno.
I am full.,Estoy llena.
I am good.,Soy bueno.
I am here.,Estoy aquí.
I am sick.,Estoy enferma.
I am weak.,Estoy débil.
I beg you.,Te lo ruego.
I beg you.,Te lo suplico.
I can fly.,Puedo volar.
I can run.,Puedo correr.
I can run.,Sé correr.
I can ski.,Sé esquiar.
I cringed.,Sentí vergüenza.
I fainted.,Perdí la consciencia.
I fainted.,Quedé inconsciente.
I gave up.,Lo dejé.
I gave up.,Me rendí.
I gave up.,Tiré la toalla.
I gave up.,Cedí.
I get you.,Te entiendo.
I get you.,Te pillo.
I get you.,Ya te pillo.
I got hit.,Me dieron.
I got hit.,Me alcanzaron.
I hate it.,Lo odio.
I hate it.,Me la seca.
I hate it.,Me la baja.
I hit Tom.,Golpeo a Tom.
I hope so.,Eso espero.
I knew it.,Lo sabía.
I laughed.,Me reí.
I like it.,Me gusta.
I love it!,¡Lo adoro!
I love it.,Me encanta.
I mean it!,Hablo en serio.
I mean it.,Lo digo en serio.
I mean it.,Hablo en serio.
I miss it.,Lo echo en falta.
I miss it.,Lo echo de menos.
I miss it.,Lo añoro.
I need it.,Lo necesito.
I saw Tom.,Vi a Tom.
I saw him.,Le vi.
I saw him.,Lo vi.
I saw one.,Vi uno.
I saw one.,Vi a uno.
I saw one.,Veía a uno.
I saw you.,Te vi.
I saw you.,Te he visto.
I see Tom.,Veo a Tom.
I tripped.,Me tropecé.
I'll cook.,Yo cocinaré.
I'll cook.,Yo guisaré.
I'll live.,Viviré.
I'll sing.,Cantaré.
I'll stop.,Pararé.
I'll stop.,Lo dejaré.
I'll wait.,Esperaré.
I'll wait.,Aguardaré.
I'll walk.,Caminaré.
I'll walk.,Andaré.
I'll work.,Voy a trabajar.
I'm a man.,Soy un hombre.
I'm a pro.,Soy un pro.
I'm alone.,Estoy solo.
I'm alone.,Estoy sola.
I'm alone.,Yo estoy solo.
I'm alone.,Yo estoy sola.
I'm angry.,Estoy enojado.
I'm angry.,Estoy enojada.
I'm awake.,Estoy despierto.
I'm blind.,Soy ciega.
I'm broke.,Estoy sin dinero.
I'm broke.,Estoy quebrado.
I'm broke.,Estoy sin blanca.
I'm broke.,No tengo blanca.
I'm crazy.,Estoy loco.
I'm drunk.,Estoy borracho.
I'm drunk.,Estoy tomada.
I'm drunk.,Estoy prendida.
I'm dying.,Me estoy muriendo.
I'm first.,Soy el primero.
I'm first.,Voy el primero.
I'm first.,Me toca primero.
I'm first.,Yo voy primero.
I'm happy.,Soy feliz.
I'm happy.,Estoy feliz.
I'm loved.,Soy amado.
I'm loved.,Soy amada.
I'm obese.,Soy obeso.
I'm ready.,Estoy listo.
I'm sorry.,Lo siento.
I'm tired.,Yo estoy cansado.
I'm tired.,Yo estoy cansada.
I'm yours.,Soy tuyo.
I'm yours.,Soy tuya.
I'm yours.,Soy suyo.
I've lost.,He perdido.
Ignore it.,Ólvidalo.
Ignore it.,No hagas caso.
Is Tom OK?,¿Está bien Tom?
Is Tom in?,¿Está Tom?
Is it bad?,¿Es grave?
Is it bad?,¿Es malo?
Is it far?,¿Está lejos?
Is it you?,¿Eres tú?
It burned.,Se quemó.
It failed.,No lo consiguió.
It failed.,Falló.
It failed.,Fracasó.
It is new.,Es nuevo.
It rained.,Llovió.
It snowed.,Nevó.
It stinks.,Apesta.
It worked.,Funcionó.
It's 3:10.,Son las tres y diez.
It's 8:30.,Son las 8:30.
It's a TV.,Es un televisor.
It's cold.,Hace frío.
It's cold.,Está frío.
It's cool.,Está frío.
It's cool.,Está fresco.
It's dark.,Está oscuro.
It's done!,¡Está listo!
It's fine.,Está perfecto.
It's good.,Está bien.
It's good.,Es bueno.
It's here.,Está aquí.
It's hers.,Es de ella.
It's late.,Es tarde.
It's mine.,Es mío.
It's mine.,Es mía.
It's nice.,Es agradable.
It's nice.,Hace buen tiempo.
It's okay.,Vale.
It's okay.,Está bien.
It's ours.,Es nuestro.
It's ours.,Es la nuestra.
It's over.,Se terminó.
It's over.,Se acabó.
It's time.,Ha llegado el momento.
It's time.,Es la hora.
It's time.,Es el momento.
It's time.,Ha llegado la hora.
It's true!,¡Es verdad!
It's true.,Es verdad.
It's work.,Es mi trabajo.
Keep them.,Guárdalos.
Keep them.,Quédatelos.
Keep them.,Guárdenselos.
Keep this.,Guarda esto.
Keep this.,Guarde esto.
Keep this.,Guardá esto.
Keep this.,Guardad esto.
Keep this.,Guarden esto.
Keep warm.,Mantente caliente.
Keep warm.,Manténgase caliente.
Keep warm.,Mantenete caliente.
Keep warm.,Mantenete abrigado.
Keep warm.,Mantente abrigado.
Keep warm.,Manténgase abrigado.
Keep warm.,Manténganse calientes.
Keep warm.,Manténganse abrigados.
Leave Tom.,Dejalo a Tomás.
Leave Tom.,Déjalo a Tomás.
Leave Tom.,Déjelo a Tomás.
Leave now.,Ahora márchate.
Leave now.,Ahora vete.
Leave now.,Ahora lárgate.
Let me go!,¡Déjame marchar!
Let me go!,¡Suéltame!
Let me go!,¡Déjeme ir!
Let me go.,¡Déjeme ir!
Let me in.,Déjame entrar.
Let me in.,Déjeme entrar.
Let us in.,Déjanos entrar.
Let's eat.,Comamos.
Let's see.,Veamos.
Let's try!,¡Intentémoslo!
Lie still.,Túmbate en silencio.
Lie still.,Mantente quieto en el suelo.
Listen up.,Escuchá.
Look away.,Mirá para otro lado.
Look away.,Mira para otro lado.
Look away.,Mire para otro lado.
Look away.,Miren para otro lado.
Look back!,¡Mira hacia atrás!
Look back.,Mira atrás.
Look back.,Mire atrás.
Look back.,Mirad atrás.
Look here.,Mira aquí.
Look here.,Mirad aquí.
Look here.,Miren aquí.
Loosen it.,Aflójalo.
Loosen it.,Suéltalo.
Loosen it.,Suéltala.
Loosen it.,Aflójala.
Move over.,Hazte a un lado.
Move over.,Deja sitio.
Move over.,Mueve el culo.
Move over.,Deja pasar.
Nice shot!,¡Buen tiro!
Of course!,¡Por supuesto!
Open fire!,¡Disparad!
Open fire!,¡Fuego a discreción!
Pardon me?,¿Perdona?
Please go.,"Por favor, ve."
Please go.,"Por favor, vete."
Please go.,"Por favor, márchate."
Please go.,"Por favor, váyase."
Put it on.,Póntelo.
Put it on.,Póngaselo.
Read this.,Lee esto.
Read this.,Lea esto.
Read this.,Lean esto.
Read this.,Leed esto.
Say hello.,Decí hola.
Search me.,A mí que me registren.
See above.,Véase arriba.
See above.,Véase más arriba.
Seize him!,¡A por él!
Seize him!,¡Cogedlo!
Seize him!,¡Arrestadlo!
Seize him!,¡Prendedlo!
Seize him!,¡Capturadlo!
Seriously?,¿En serio?
She tried.,Ella lo intentó.
She tried.,Ella lo probó.
She walks.,Ella anda.
She walks.,Ella camina.
She walks.,Anda.
She's hot.,Ella es candente.
She's hot.,Está como un tren.
She's hot.,Está de toma pan y moja.
She's hot.,Está buena.
She's hot.,Está que cruje.
Sign here.,Firme aquí.
Sign this.,Firma esto.
Sign this.,Firme esto.
Sign this.,Firmen esto.
Sign this.,Firmá esto.
Sign this.,Firmad esto.
Sit still.,Siéntate y no te muevas.
Sit still.,Siéntate y quédate quieto.
Sit there.,Sentate ahí.
Sit tight.,Tú mantente.
Slow down.,Quieto.
Slow down.,Más despacio.
Stay away.,Fuera.
Stay away.,Aléjate.
Stay calm.,Mantén la calma.
Stay calm.,Mantené la calma.
Stay here.,Quedate acá.
Step back.,Da un paso atrás.
Stop here.,Para aquí.
Stop here.,Párate aquí.
Stop here.,Detente aquí.
Stop here.,Deténgase aquí.
Stop here.,Deténganse aquí.
Stop here.,Paraos aquí.
Stop here.,Parad aquí.
Stop that.,Para eso.
Stop them.,Deténlos.
Stop them.,Párales.
Take care!,¡Cuidate!
Take care!,¡Te cuidas!
Take care.,Cuídate.
Take care.,Cuidaos.
Take mine.,Coge el mío.
Take mine.,Toma el mío.
Take over.,Asume el mando.
Take over.,Toma el control.
Take over.,Encárgate tú.
Take this.,Toma esto.
Take this.,Tome esto.
Take this.,Tomen esto.
Take this.,Tomá esto.
Thank you.,¡Gracias!
Thank you.,Gracias a ti.
Thank you.,Gracias.
That's it.,Eso es.
That's me.,Soy yo.
That's me.,Ese soy yo.
Then what?,¿Entonces qué?
They fell.,Cayeron.
They left.,Se fueron.
They left.,Se marcharon.
They left.,Se iban.
They lost.,Perdieron.
Tom bowed.,Tom se inclinó.
Tom cared.,Tom se preocupó.
Tom cared.,Tom se preocupaba.
Tom cared.,A Tom le importaba.
Tom cares.,Tom se preocupa.
Tom cares.,A Tom le importa.
Tom cried.,Tom lloró.
Tom dozed.,Tom dormitó.
Tom drove.,Tomás condujo.
Tom is OK.,Tom está bien.
Tom is in.,Tom está dentro.
Tom is up.,Tom está levantado.
Tom knits.,Tom teje.
Tom knows.,Tom sabe.
Tom moved.,Tom se mudó.
Tom moved.,Tom se movió.
Tom rocks.,Tom se mece.
Tom stood.,Tom se quedó.
Tom swims.,Tom nada.
Tom swore.,Tom juró.
Tom tried.,Tomás lo intentó.
Tom tries.,Tomás lo intenta.
Tom voted.,Tomás votó.
Tom walks.,Tom camina.
Tom waved.,Tom saludó.
Tom works.,Tomás trabaja.
Tom'll go.,Tom irá.
Tom's fat.,Tom está gordo.
Tom's mad.,Tom está loco.
Tom's sad.,Tom está triste.
Tom's shy.,Tom es tímido.
Trust Tom.,Confía en Tom.
Try again.,Inténtalo de nuevo.
Try again.,Intentadlo otra vez.
Try again.,Intenta otra vez.
Try it on.,Pruébatelo.
Wait here.,Espera aquí.
Wait here.,Aguarda aquí.
Wait here.,Esperen aquí.
Wait here.,Esperad aquí.
Watch Tom.,Vigila a Tom.
Watch out!,¡Abusado!
We can go.,Podemos ir.
We can go.,Podemos irnos.
We can go.,Nos podemos marchar.
We failed.,Fallamos.
We failed.,Hemos fallado.
We forgot.,Nos olvidamos.
We saw it.,Lo vimos.
We saw it.,Lo veíamos.
We talked.,Conversamos.
We waited.,Nosotros esperamos.
We'll see.,Después veremos.
We'll see.,Ya veremos.
We'll try.,Lo intentaremos.
We've won!,¡Hemos ganado!
What's up?,¿Qué hay?
Who cares?,¿A quién le importa?
Who is he?,¿Quién es él?
Who is it?,¿Quién es?
Who knows?,Aabe...
Who stood?,¿Quién se quedó?
Who'll go?,¿Quién irá?
Who's Tom?,¿Quién es Tom?
Write Tom.,Escribe a Tom.
You drive.,Tú maneja.
You start.,Tú empieza.
You tried.,Lo intentaste.
You're OK.,Tú estás perfectamente.
You're OK.,Estás perfectamente.
Aim higher.,Más alto.
Aim higher.,Apuntad más alto.
All aboard!,¡Todos a bordo!
Am I right?,¿Tengo razón?
Am I wrong?,¿Me equivoco?
Am I wrong?,¿Estoy equivocada?
Answer Tom.,¡Respóndale a Tomás!
Answer Tom.,¡Respondele a Tomás!
Answer Tom.,¡Respóndanle a Tomás!
Are you 18?,¿Tienes dieciocho?
Are you 18?,¿Has cumplido dieciocho?
Are you OK?,¿Estás bien?
Are you in?,¿Te apuntas?
Are you in?,¿Estás dentro?
Are you up?,¿Estás levantado?
Ask anyone.,Pregúntale a cualquiera.
Ask anyone.,Preguntadle a cualquiera.
Ask anyone.,Pregúntele a cualquiera.
Ask anyone.,Pregúntenle a cualquiera.
Ask around.,Pregunta por aquí.
Ask around.,Pregunta en los alrededores.
Be careful.,¡Ten cuidado!
Be careful.,¡Sé cuidadoso!
Be content.,Estate contento.
Be on time.,Llega a tiempo.
Be on time.,Llegue a tiempo.
Be patient.,Sea paciente.
Be serious.,Sé serio.
Birds sing.,Los pájaros cantan.
Birds sing.,Los pájaros están cantando.
Bring food.,Traed comida.
Bring help.,Traed ayuda.
Bring wine.,Trae vino.
Can I come?,¿Puedo ir?
Can I come?,¿Puedo venir?
Can I come?,¿Puedo acercarme?
Can I help?,¿Puedo ayudar?
Can I stay?,¿Me puedo quedar?
Carry this.,Lleva esto.
Check that.,Comprobad eso.
Check this.,Comprueba esto.
Choose one.,Escoge uno.
Come again.,Vuelve otra vez.
Come alone.,Ven solo.
Come along.,Vente.
Come along.,Vénganse.
Come early.,Vení temprano.
Come early.,Ven temprano.
Come early.,Vengan temprano.
Come early.,Venga temprano.
Come on in!,¡Pásale!
Come on in!,¡Pásele!
Come on in!,¡Pásenle!
Come on in.,Entre.
Come on in.,Pase.
Come quick!,¡Ven rápido!
Come quick!,¡Vení rápido!
Come to me.,Ven a mí.
Come to me.,Venid a mí.
Come to us.,Ven a nosotros.
Come to us.,Venid a nosotros.
Cut it out!,¡Ya párale!
Did Tom go?,¿Fue Tom?
Do come in!,¡Pásale!
Do come in!,¡Pásele!
Do come in!,¡Pásenle!
Do come in.,Pasa adentro.
Do come in.,Entra de una vez.
Do come in.,Entra ya.
Do come in.,Métete dentro.
Do men cry?,¿Los hombres lloran?
Don't come.,No vengas.
Don't jump!,¡No saltéis!
Don't look.,No miréis.
Don't move!,¡No os mováis!
Don't move.,No te muevas.
Don't move.,No se mueva.
Don't move.,No se muevan.
Don't sing.,No cantes.
Don't sing.,No canten.
Don't stop.,No pares.
Don't talk!,¡No hables!
Don't talk.,No hables.
Don't wait.,¡No esperes!
Don't wait.,¡No esperen!
Don't wait.,No esperes.
Don't yell.,No grites.
Eat slowly.,Come despacio.
Eat slowly.,¡Comé despacio!
Fire burns.,El fuego quema.
Follow Tom.,Seguilo a Tomás.
Follow Tom.,Síguelo a Tomás.
Follow Tom.,Sígalo a Tomás.
Follow Tom.,Síganlo a Tomás.
Follow him.,Síguele.
